Date,Oil,Gas,Misc,Total
7/17/1987,559.00,337.00,26.00,922.00
7/24/1987,565.00,331.00,21.00,917.00
7/31/1987,605.00,346.00,22.00,973.00
8/7/1987,613.00,349.00,21.00,983.00
8/14/1987,620.00,352.00,26.00,998.00
8/21/1987,627.00,354.00,31.00,1012.00
8/28/1987,665.00,361.00,23.00,1049.00
9/4/1987,704.00,369.00,26.00,1099.00
9/11/1987,718.00,364.00,26.00,1108.00
9/18/1987,711.00,367.00,23.00,1101.00
9/25/1987,718.00,356.00,20.00,1094.00
10/2/1987,721.00,367.00,39.00,1127.00
10/9/1987,723.00,378.00,3.00,1104.00
10/16/1987,725.00,391.00,18.00,1134.00
10/23/1987,740.00,372.00,18.00,1130.00
10/30/1987,738.00,374.00,19.00,1131.00
11/6/1987,734.00,387.00,20.00,1141.00
11/13/1987,760.00,393.00,21.00,1174.00
11/20/1987,746.00,386.00,20.00,1152.00
11/27/1987,750.00,389.00,22.00,1161.00
12/4/1987,757.00,394.00,1.00,1152.00
12/11/1987,764.00,399.00,18.00,1181.00
12/18/1987,745.00,405.00,18.00,1168.00
12/25/1987,716.00,412.00,17.00,1145.00
1/1/1988,710.00,392.00,19.00,1121.00
1/8/1988,689.00,390.00,23.00,1102.00
1/15/1988,641.00,392.00,21.00,1054.00
1/22/1988,611.00,390.00,25.00,1026.00
1/29/1988,573.00,366.00,25.00,964.00
2/5/1988,580.00,381.00,25.00,986.00
2/12/1988,557.00,385.00,26.00,968.00
2/19/1988,575.00,377.00,26.00,978.00
2/26/1988,592.00,365.00,26.00,983.00
3/4/1988,591.00,360.00,27.00,978.00
3/11/1988,572.00,342.00,32.00,946.00
3/18/1988,583.00,326.00,34.00,943.00
3/25/1988,580.00,322.00,33.00,935.00
4/1/1988,577.00,330.00,34.00,941.00
4/8/1988,566.00,315.00,35.00,916.00
4/15/1988,560.00,310.00,34.00,904.00
4/22/1988,566.00,307.00,35.00,908.00
4/29/1988,541.00,308.00,31.00,880.00
5/6/1988,563.00,308.00,26.00,897.00
5/13/1988,557.00,299.00,27.00,883.00
5/20/1988,571.00,291.00,30.00,892.00
5/27/1988,576.00,295.00,34.00,905.00
6/3/1988,562.00,304.00,32.00,898.00
6/10/1988,544.00,310.00,35.00,889.00
6/17/1988,550.00,321.00,34.00,905.00
6/24/1988,558.00,301.00,35.00,894.00
7/1/1988,572.00,314.00,35.00,921.00
7/8/1988,573.00,318.00,35.00,926.00
7/15/1988,565.00,297.00,37.00,899.00
7/22/1988,560.00,308.00,35.00,903.00
7/29/1988,549.00,314.00,31.00,894.00
8/5/1988,575.00,340.00,30.00,945.00
8/12/1988,572.00,335.00,33.00,940.00
8/19/1988,566.00,342.00,29.00,937.00
8/26/1988,561.00,346.00,28.00,935.00
9/2/1988,526.00,381.00,26.00,933.00
9/9/1988,513.00,399.00,26.00,938.00
9/16/1988,499.00,396.00,26.00,921.00
9/23/1988,510.00,383.00,24.00,917.00
9/30/1988,523.00,370.00,25.00,918.00
10/7/1988,514.00,372.00,28.00,914.00
10/14/1988,524.00,373.00,28.00,925.00
10/21/1988,526.00,379.00,28.00,933.00
10/28/1988,504.00,391.00,28.00,923.00
11/4/1988,505.00,416.00,21.00,942.00
11/11/1988,471.00,403.00,23.00,897.00
11/18/1988,491.00,409.00,23.00,923.00
11/25/1988,494.00,395.00,22.00,911.00
12/2/1988,487.00,397.00,21.00,905.00
12/9/1988,512.00,390.00,20.00,922.00
12/16/1988,510.00,400.00,20.00,930.00
12/23/1988,519.00,400.00,21.00,940.00
12/30/1988,505.00,384.00,19.00,908.00
1/6/1989,475.00,375.00,22.00,872.00
1/13/1989,470.00,346.00,24.00,840.00
1/20/1989,412.00,354.00,23.00,789.00
1/27/1989,414.00,362.00,21.00,797.00
2/3/1989,396.00,363.00,21.00,780.00
2/10/1989,389.00,334.00,23.00,746.00
2/17/1989,392.00,350.00,24.00,766.00
2/24/1989,391.00,341.00,25.00,757.00
3/3/1989,400.00,337.00,24.00,761.00
3/10/1989,398.00,327.00,18.00,743.00
3/17/1989,405.00,314.00,21.00,740.00
3/24/1989,424.00,320.00,22.00,766.00
3/31/1989,417.00,341.00,21.00,779.00
4/7/1989,429.00,325.00,24.00,778.00
4/14/1989,433.00,304.00,21.00,758.00
4/21/1989,430.00,317.00,20.00,767.00
4/28/1989,426.00,305.00,20.00,751.00
5/5/1989,436.00,311.00,17.00,764.00
5/12/1989,451.00,310.00,10.00,771.00
5/19/1989,425.00,304.00,8.00,737.00
5/26/1989,419.00,323.00,7.00,749.00
6/2/1989,429.00,341.00,14.00,784.00
6/9/1989,427.00,353.00,11.00,791.00
6/16/1989,409.00,367.00,19.00,795.00
6/23/1989,428.00,368.00,14.00,810.00
6/30/1989,439.00,364.00,14.00,817.00
7/7/1989,436.00,373.00,16.00,825.00
7/14/1989,424.00,382.00,14.00,820.00
7/21/1989,417.00,399.00,14.00,830.00
7/28/1989,445.00,413.00,12.00,870.00
8/4/1989,445.00,420.00,9.00,874.00
8/11/1989,433.00,414.00,11.00,858.00
8/18/1989,426.00,463.00,14.00,903.00
8/25/1989,442.00,456.00,11.00,909.00
9/1/1989,451.00,474.00,11.00,936.00
9/8/1989,449.00,490.00,11.00,950.00
9/15/1989,468.00,486.00,11.00,965.00
9/22/1989,472.00,485.00,10.00,967.00
9/29/1989,480.00,489.00,9.00,978.00
10/6/1989,468.00,485.00,7.00,960.00
10/13/1989,498.00,475.00,8.00,981.00
10/20/1989,502.00,480.00,10.00,992.00
10/27/1989,516.00,482.00,12.00,1010.00
11/3/1989,539.00,491.00,12.00,1042.00
11/10/1989,545.00,487.00,13.00,1045.00
11/17/1989,529.00,499.00,12.00,1040.00
11/24/1989,516.00,514.00,7.00,1037.00
12/1/1989,534.00,522.00,6.00,1062.00
12/8/1989,528.00,523.00,7.00,1058.00
12/15/1989,552.00,519.00,8.00,1079.00
12/22/1989,548.00,505.00,8.00,1061.00
12/29/1989,533.00,502.00,7.00,1042.00
1/5/1990,532.00,488.00,9.00,1029.00
1/12/1990,527.00,484.00,8.00,1019.00
1/19/1990,494.00,462.00,8.00,964.00
1/26/1990,482.00,447.00,8.00,937.00
2/2/1990,489.00,434.00,8.00,931.00
2/9/1990,495.00,397.00,7.00,899.00
2/16/1990,498.00,413.00,7.00,918.00
2/23/1990,485.00,405.00,7.00,897.00
3/2/1990,478.00,409.00,7.00,894.00
3/9/1990,482.00,435.00,6.00,923.00
3/16/1990,479.00,424.00,5.00,908.00
3/23/1990,474.00,414.00,5.00,893.00
3/30/1990,516.00,425.00,5.00,946.00
4/6/1990,487.00,445.00,5.00,937.00
4/13/1990,483.00,447.00,4.00,934.00
4/20/1990,462.00,467.00,3.00,932.00
4/27/1990,472.00,451.00,4.00,927.00
5/4/1990,475.00,450.00,5.00,930.00
5/11/1990,479.00,458.00,4.00,941.00
5/18/1990,504.00,465.00,3.00,972.00
5/25/1990,514.00,485.00,2.00,1001.00
6/1/1990,507.00,475.00,1.00,983.00
6/8/1990,496.00,489.00,6.00,991.00
6/15/1990,491.00,500.00,8.00,999.00
6/22/1990,496.00,516.00,9.00,1021.00
6/29/1990,491.00,516.00,13.00,1020.00
7/6/1990,487.00,509.00,15.00,1011.00
7/13/1990,491.00,495.00,15.00,1001.00
7/20/1990,509.00,496.00,17.00,1022.00
7/27/1990,508.00,466.00,22.00,996.00
8/3/1990,494.00,457.00,15.00,966.00
8/10/1990,507.00,472.00,13.00,992.00
8/17/1990,511.00,459.00,17.00,987.00
8/24/1990,510.00,475.00,17.00,1002.00
8/31/1990,544.00,453.00,15.00,1012.00
9/7/1990,570.00,454.00,15.00,1039.00
9/14/1990,579.00,466.00,15.00,1060.00
9/21/1990,572.00,467.00,16.00,1055.00
9/28/1990,560.00,470.00,17.00,1047.00
10/5/1990,590.00,456.00,18.00,1064.00
10/12/1990,588.00,453.00,15.00,1056.00
10/19/1990,597.00,480.00,12.00,1089.00
10/26/1990,607.00,488.00,12.00,1107.00
11/2/1990,620.00,513.00,11.00,1144.00
